Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,1.0,0.0,0.0,432.0,3.0,80.0,1774.0,0.1,75.09300000000002,0.0,0.0,408.65672063827515,,,,,,,,,,,,,,,,,,,,,35.75106080285674,22.13809634486436,72.37759795408168,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1.0,0.0,0.0,731.0,4.0,299.0,2073.0,0.1,289.45399999999995,0.0,0.0,438.12713170051575,,,,,,,,,,,,,,,,,,,,,130.41535276509504,73.05308980380332,250.96148152480487,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.0,0.0,0.0,966.0,5.0,235.0,2308.0,0.1,225.45400000000004,0.0,0.0,461.093923330307,,,,,,,,,,,,,,,,,,,,,103.36335341635778,58.82203256398632,201.56654346754783,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,1108.0,6.0,142.0,2450.0,0.1,112.25600000000011,0.0,0.0,475.2029662132263,,,,,,,,,,,,,,,,,,,,,50.65250967315912,30.196126082199697,105.27378592447447,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,1289.0,7.0,181.0,2631.0,0.1,165.72700000000006,0.0,0.0,493.40054154396057,,,,,,,,,,,,,,,,,,,,,76.2811611782511,44.52498799286142,152.2244064151606,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,1499.0,8.0,210.0,2841.0,0.1,202.36300000000003,0.0,0.0,514.7479290962219,,,,,,,,,,,,,,,,,,,,,94.0529742425658,53.78281351665685,182.97764772686742,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,1684.0,9.0,185.0,3026.0,0.1,173.45600000000005,0.0,0.0,533.7198870182037,,,,,,,,,,,,,,,,,,,,,80.9436229468014,47.34341840491987,158.79886869335994,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,1739.0,10.0,55.0,3081.0,0.1,45.45400000000001,0.0,0.0,539.316677570343,,,,,,,,,,,,,,,,,,,,,20.56535816257717,13.838379990631704,44.41168425788979,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,1944.0,11.0,205.0,3286.0,0.1,198.09500000000003,0.0,0.0,560.2150146961212,,,,,,,,,,,,,,,,,,,,,91.04912245466822,53.67071964318183,179.78932876499445,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,2067.0,12.0,123.0,3409.0,0.1,117.09400000000002,0.0,0.0,573.0432314872742,,,,,,,,,,,,,,,,,,,,,54.99595473716286,33.422444532419945,110.55048799282667,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,2176.0,13.0,109.0,3518.0,0.1,102.09500000000003,0.0,0.0,584.334508895874,,,,,,,,,,,,,,,,,,,,,47.58536891001288,29.746797343425357,97.10230229108852,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
