Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,100.0,1.0,100.0,100.0,0.1,77.54659999999994,0.0,0.0,0.008984804153442383,,,,,,,,,,,,,,,,,,,,,34.35499284226551,23.745202301211574,74.25954554732255,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,133.0,2.0,33.0,133.0,0.1,20.685400000000016,0.0,0.0,3.619734287261963,,,,,,,,,,,,,,,,,,,,,8.688544211817126,7.019054406089042,20.439536674823007,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,179.0,3.0,46.0,179.0,0.1,29.16780000000002,0.0,0.0,8.831502914428711,,,,,,,,,,,,,,,,,,,,,11.579957120852612,9.784311200420607,28.692478236435406,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,208.0,4.0,29.0,208.0,0.1,18.685400000000012,0.0,0.0,12.044909477233887,,,,,,,,,,,,,,,,,,,,,7.416943956464624,6.360498505355113,18.507304727412624,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,248.0,5.0,40.0,248.0,0.1,29.50420000000002,0.0,0.0,16.518688917160034,,,,,,,,,,,,,,,,,,,,,13.188790721929834,9.510612038004602,29.03468871386181,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,281.0,6.0,33.0,281.0,0.1,21.885200000000015,0.0,0.0,20.293978929519653,,,,,,,,,,,,,,,,,,,,,9.169745633576502,7.474772474104917,21.625828425113777,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,351.0,7.0,70.0,351.0,0.1,44.852399999999946,0.0,0.0,27.839840412139893,,,,,,,,,,,,,,,,,,,,,17.31359978439816,14.758675853279179,43.727860007246626,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,389.0,8.0,38.0,389.0,0.1,26.684400000000014,0.0,0.0,31.99919819831848,,,,,,,,,,,,,,,,,,,,,11.845444691820044,8.809535588462726,26.286820455801983,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,415.0,9.0,26.0,415.0,0.1,14.886000000000003,0.0,0.0,34.93331551551819,,,,,,,,,,,,,,,,,,,,,5.63175067768404,5.253072523611469,14.76909790910051,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,436.0,10.0,21.0,436.0,0.1,10.785599999999999,0.0,0.0,37.50275993347168,,,,,,,,,,,,,,,,,,,,,3.9512240017312363,3.9421388828012947,10.724061695292537,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
