Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,90.0,1.0,90.0,90.0,0.1,84.10400000000001,0.0,0.0,0.009147405624389648,,,,,,,,,,,,,,,,,,,,,39.58147406658761,24.769480941757408,80.70299261624702,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,158.0,2.0,68.0,158.0,0.1,61.10499999999999,0.0,0.0,6.953812122344971,,,,,,,,,,,,,,,,,,,,,28.225085460796958,18.7238662654394,59.30424337116476,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,227.0,3.0,69.0,227.0,0.1,63.10399999999999,0.0,0.0,14.100011825561523,,,,,,,,,,,,,,,,,,,,,29.60212139394577,19.08932685575387,61.183759959977735,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,277.0,4.0,50.0,277.0,0.1,45.102999999999994,0.0,0.0,19.168455839157104,,,,,,,,,,,,,,,,,,,,,21.373977424815227,13.914656834856572,44.12250201027779,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,323.0,5.0,46.0,323.0,0.1,37.403999999999996,0.0,0.0,24.042645931243896,,,,,,,,,,,,,,,,,,,,,16.994827998058312,11.459361445403367,36.695592401299514,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,356.0,6.0,33.0,356.0,0.1,25.10600000000001,0.0,0.0,27.535398483276367,,,,,,,,,,,,,,,,,,,,,10.60418115273199,8.522255398707063,24.805648513338014,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,387.0,7.0,31.0,387.0,0.1,23.10600000000001,0.0,0.0,30.824736833572388,,,,,,,,,,,,,,,,,,,,,9.65649956974171,7.912424907925897,22.85233032165099,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,453.0,8.0,66.0,453.0,0.1,59.10499999999999,0.0,0.0,37.72162055969238,,,,,,,,,,,,,,,,,,,,,27.269039830836896,18.170868070909616,57.420026003145054,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,496.0,9.0,43.0,496.0,0.1,37.10399999999999,0.0,0.0,42.40366721153259,,,,,,,,,,,,,,,,,,,,,17.09144567810827,11.824101784071377,36.44191522437488,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,516.0,10.0,20.0,516.0,0.1,14.103999999999997,0.0,0.0,44.69333600997925,,,,,,,,,,,,,,,,,,,,,6.005161252465669,5.007219578762891,14.011906576196504,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
